Book_id,Title,Author,Genre,Height,Publisher
1,Fundamentals of Wavelets,"Goswami, Jaideva",signal_processing,228,Wiley
2,Data Smart,"Foreman, John",data_science,235,Wiley
3,God Created the Integers,"Hawking, Stephen",mathematics,197,Penguin
4,Superfreakonomics,"Dubner, Stephen",economics,179,HarperCollins
5,Orientalism,"Said, Edward",history,197,Penguin
6,"Nature of Statistical Learning Theory, The","Vapnik, Vladimir",data_science,230,Springer
7,Integration of the Indian States,"Menon, V P",history,217,Orient Blackswan
8,"Drunkard's Walk, The","Mlodinow, Leonard",science,197,Penguin
9,Image Processing & Mathematical Morphology,"Shih, Frank",signal_processing,241,CRC
10,How to Think Like Sherlock Holmes,"Konnikova, Maria",psychology,240,Penguin
11,Data Scientists at Work,Sebastian Gutierrez,data_science,230,Apress
